entry_id,title,source_file,source_type,candidate_png,candidate_webp,candidate_status
J-33,量子コンピュータ,assets\ponchi\experiments\batches\ponchi-batch-017\J-33_base_1254x627.png,review_pending_base,J-33_candidate.png,J-33_candidate.webp,review_pending
J-40,IoT,assets\ponchi\experiments\batches\ponchi-batch-017\J-40_base_1254x627.png,review_pending_base,J-40_candidate.png,J-40_candidate.webp,review_pending
J-41,DX,assets\ponchi\experiments\batches\ponchi-batch-017\J-41_base_1254x627.png,review_pending_base,J-41_candidate.png,J-41_candidate.webp,review_pending
J-42,Web3,assets\ponchi\experiments\batches\ponchi-batch-017\J-42_base_1254x627.png,review_pending_base,J-42_candidate.png,J-42_candidate.webp,review_pending
J-43,SaaS,assets\ponchi\experiments\batches\ponchi-batch-017\J-43_base_1254x627.png,review_pending_base,J-43_candidate.png,J-43_candidate.webp,review_pending
J-50,AI 倫理,assets\ponchi\experiments\batches\ponchi-batch-017\J-50_base_1254x627.png,review_pending_base,J-50_candidate.png,J-50_candidate.webp,review_pending
J-51,Hallucination,assets\ponchi\experiments\batches\ponchi-batch-017\J-51_base_1254x627.png,review_pending_base,J-51_candidate.png,J-51_candidate.webp,review_pending
J-52,Sycophancy,assets\ponchi\experiments\batches\ponchi-batch-017\J-52_base_1254x627.png,review_pending_base,J-52_candidate.png,J-52_candidate.webp,review_pending
J-53,著作権法 30 条の 4（日本）,assets\ponchi\experiments\batches\ponchi-batch-017\J-53_base_1254x627.png,review_pending_base,J-53_candidate.png,J-53_candidate.webp,review_pending
J-54,ISO/IEC 42001,assets\ponchi\experiments\batches\ponchi-batch-017\J-54_base_1254x627.png,review_pending_base,J-54_candidate.png,J-54_candidate.webp,review_pending
J-55,個人情報保護法,assets\ponchi\experiments\batches\ponchi-batch-017\J-55_base_1254x627.png,review_pending_base,J-55_candidate.png,J-55_candidate.webp,review_pending
J-56,GDPR,assets\ponchi\experiments\batches\ponchi-batch-017\J-56_base_1254x627.png,review_pending_base,J-56_candidate.png,J-56_candidate.webp,review_pending
J-62,チューリングテスト,assets\ponchi\experiments\batches\ponchi-batch-017\J-62_base_1254x627.png,review_pending_base,J-62_candidate.png,J-62_candidate.webp,review_pending
J-70,VRAM,assets\ponchi\experiments\batches\ponchi-batch-017\J-70_base_1254x627.png,review_pending_base,J-70_candidate.png,J-70_candidate.webp,review_pending
J-71,RAM,assets\ponchi\experiments\batches\ponchi-batch-017\J-71_base_1254x627.png,review_pending_base,J-71_candidate.png,J-71_candidate.webp,review_pending
J-72,H100,assets\ponchi\experiments\batches\ponchi-batch-017\J-72_base_1254x627.png,review_pending_base,J-72_candidate.png,J-72_candidate.webp,review_pending
J-73,Blackwell,assets\ponchi\experiments\batches\ponchi-batch-017\J-73_base_1254x627.png,review_pending_base,J-73_candidate.png,J-73_candidate.webp,review_pending
J-74,RTX シリーズ,assets\ponchi\experiments\batches\ponchi-batch-017\J-74_base_1254x627.png,review_pending_base,J-74_candidate.png,J-74_candidate.webp,review_pending
J-75,Tensor コア,assets\ponchi\experiments\batches\ponchi-batch-017\J-75_base_1254x627.png,review_pending_base,J-75_candidate.png,J-75_candidate.webp,review_pending
J-76,CPU,assets\ponchi\experiments\batches\ponchi-batch-017\J-76_base_1254x627.png,review_pending_base,J-76_candidate.png,J-76_candidate.webp,review_pending
