file,entry_id,size,size_ok,bbox_coverage,density_ok,clearspace_required,clearspace_ink_ratio,clearspace_ok,status
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-20_base_1254x627.png,E-20,1254x627,true,0.783,true,false,0.0267,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-21_base_1254x627.png,E-21,1254x627,true,0.687,true,false,0.0196,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-22_base_1254x627.png,E-22,1254x627,true,0.726,true,false,0.0405,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-23_base_1254x627.png,E-23,1254x627,true,0.689,true,false,0.0175,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-24_base_1254x627.png,E-24,1254x627,true,0.834,true,false,0.0832,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-25_base_1254x627.png,E-25,1254x627,true,0.743,true,false,0.0574,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-26_base_1254x627.png,E-26,1254x627,true,0.799,true,false,0.0878,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-27_base_1254x627.png,E-27,1254x627,true,0.820,true,false,0.0293,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-3_base_1254x627.png,E-3,1254x627,true,0.647,true,false,0.0436,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-30_base_1254x627.png,E-30,1254x627,true,0.761,true,false,0.0844,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-31_base_1254x627.png,E-31,1254x627,true,0.843,true,false,0.0861,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-32_base_1254x627.png,E-32,1254x627,true,0.845,true,false,0.0923,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-33_base_1254x627.png,E-33,1254x627,true,0.867,true,false,0.1211,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-34_base_1254x627.png,E-34,1254x627,true,0.812,true,false,0.1031,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-4_base_1254x627.png,E-4,1254x627,true,0.802,true,false,0.0739,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-50_base_1254x627.png,E-50,1254x627,true,0.700,true,false,0.0922,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\E-51_base_1254x627.png,E-51,1254x627,true,0.835,true,false,0.0889,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\F-1_base_1254x627.png,F-1,1254x627,true,0.765,true,false,0.0644,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\F-2_base_1254x627.png,F-2,1254x627,true,0.691,true,false,0.0310,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-007\F-3_base_1254x627.png,F-3,1254x627,true,0.735,true,false,0.0647,true,pass
