file,size,size_ok,bbox_coverage,density_ok,clearspace_ink_ratio,clearspace_ok,status
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-30_base_1254x627.png,1254x627,true,0.609,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-31_base_1254x627.png,1254x627,true,0.759,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-32_base_1254x627.png,1254x627,true,0.663,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-33_base_1254x627.png,1254x627,true,0.756,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-40_base_1254x627.png,1254x627,true,0.634,true,0.0017,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-41_base_1254x627.png,1254x627,true,0.598,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-50_base_1254x627.png,1254x627,true,0.872,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-51_base_1254x627.png,1254x627,true,0.962,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-52_base_1254x627.png,1254x627,true,0.708,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-60_base_1254x627.png,1254x627,true,0.728,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-61_base_1254x627.png,1254x627,true,0.686,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-1_base_1254x627.png,1254x627,true,0.512,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-2_base_1254x627.png,1254x627,true,0.735,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-3_base_1254x627.png,1254x627,true,0.795,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-4_base_1254x627.png,1254x627,true,0.753,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-5_base_1254x627.png,1254x627,true,0.838,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-6_base_1254x627.png,1254x627,true,0.650,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-7_base_1254x627.png,1254x627,true,0.815,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-8_base_1254x627.png,1254x627,true,0.773,true,0.0000,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-9_base_1254x627.png,1254x627,true,0.775,true,0.0000,true,pass
