"batch_id","batch_index","item_index","priority","visible_rank","entry_id","title","file_size_kb","score","regen_type","current_action","reasons","target_brief","status","prompt_path","candidate_path","audit_status","logo_need","logo_status","replacement_decision"
"lightweight-regen-001","1","1","P0","1","J-93","Ubuntu","13.2","87","composition_regen","composition_regen_review","known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/J-93.md","assets/ponchi/experiments/batches/lightweight-regen-001/J-93_base_1254x627.png","image_pass_color_pass","not_needed","not_required","replace_candidate_ready"
"lightweight-regen-001","1","2","P0","6","J-91","CLI","16.1","95","composition_regen","composition_regen_review","known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/J-91.md","assets/ponchi/experiments/batches/lightweight-regen-001/J-91_base_1254x627.png","image_pass_color_review","not_needed","not_required","replace_candidate_visual_review"
"lightweight-regen-001","1","3","P0","7","J-81","M.2","16.4","91","composition_regen","composition_regen_review","known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/J-81.md","assets/ponchi/experiments/batches/lightweight-regen-001/J-81_base_1254x627.png","image_pass_color_pass","not_needed","not_required","replace_candidate_ready"
"lightweight-regen-001","1","4","P0","12","J-92","Linux","17.4","95","composition_regen","composition_regen_review","known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/J-92.md","assets/ponchi/experiments/batches/lightweight-regen-001/J-92_base_1254x627.png","image_pass_color_pass","not_needed","not_required","replace_candidate_ready"
"lightweight-regen-001","1","5","P0","20","J-90","GUI","18.5","94","composition_regen","composition_regen_review","known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/J-90.md","assets/ponchi/experiments/batches/lightweight-regen-001/J-90_base_1254x627.png","image_pass_color_review","not_needed","not_required","replace_candidate_visual_review"
"lightweight-regen-001","1","6","P0","34","I-4","MCP Transport","21.0","90","composition_regen","composition_regen_review","線密度;known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/I-4.md","assets/ponchi/experiments/batches/lightweight-regen-001/I-4_base_1254x627.png","image_pass_color_pass","not_needed","not_required","replace_candidate_ready"
"lightweight-regen-001","1","7","P0","38","I-3","MCP Client","21.9","97","composition_regen","composition_regen_review","known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/I-3.md","assets/ponchi/experiments/batches/lightweight-regen-001/I-3_base_1254x627.png","image_pass_color_review","not_needed","not_required","replace_candidate_visual_review"
"lightweight-regen-001","1","8","P0","48","B-6","Windsurf","24.1","93","richer_scene_regen","sparse_diagram_review","sparse_logo_diagram","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/B-6.md","assets/ponchi/experiments/batches/lightweight-regen-001/B-6_base_1254x627.png","image_review_color_review","required_review","pending_overlay_or_clearspace_review","needs_logo_clearspace_or_visual_review"
"lightweight-regen-001","1","9","P0","51","I-2","MCP Server","24.5","92","composition_regen","composition_regen_review","known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/I-2.md","assets/ponchi/experiments/batches/lightweight-regen-001/I-2_base_1254x627.png","image_pass_color_review","not_needed","not_required","replace_candidate_visual_review"
"lightweight-regen-001","1","10","P0","65","J-100","識字（リテラシー）","26.6","89","composition_regen","composition_regen_review","known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/J-100.md","assets/ponchi/experiments/batches/lightweight-regen-001/J-100_base_1254x627.png","image_pass_color_pass","not_needed","not_required","replace_candidate_ready"
"lightweight-regen-001","1","11","P0","74","B-4","Cursor","30.5","95","composition_regen","composition_regen_review","known_padding_2to1;sparse_logo_diagram","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/B-4.md","assets/ponchi/experiments/batches/lightweight-regen-001/B-4_base_1254x627.png","image_review_color_review","required_review","pending_overlay_or_clearspace_review","needs_logo_clearspace_or_visual_review"
"lightweight-regen-001","1","12","P0","76","B-7","Claude Code","31.6","95","richer_scene_regen","sparse_diagram_review","color_review;official_asset_color_context;sparse_logo_diagram","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/B-7.md","assets/ponchi/experiments/batches/lightweight-regen-001/B-7_base_1254x627.png","image_review_color_pass","required_review","pending_overlay_or_clearspace_review","needs_logo_clearspace_or_visual_review"
"lightweight-regen-001","1","13","P0","79","I-5","MCP SDK","32.0","94","composition_regen","composition_regen_review","known_padding_2to1","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける","candidate_generated","assets/ponchi/pipeline_prompts/lightweight-regen-001/I-5.md","assets/ponchi/experiments/batches/lightweight-regen-001/I-5_base_1254x627.png","image_pass_color_review","not_needed","not_required","replace_candidate_visual_review"
