order,lane,entry_id,title,category,status,md_path,priority
1,1,I-10,Filesystem MCP,mcp,ready,content/entries/mcp/I-10_filesystem_mcp[済].md,ready_missing_svg
2,2,I-11,GitHub MCP,mcp,ready,content/entries/mcp/I-11_github_mcp[済].md,ready_missing_svg
3,3,I-12,Git MCP,mcp,ready,content/entries/mcp/I-12_git_mcp[済].md,ready_missing_svg
4,4,I-13,Slack MCP,mcp,ready,content/entries/mcp/I-13_slack_mcp[済].md,ready_missing_svg
5,1,I-20,Playwright MCP,mcp,ready,content/entries/mcp/I-20_playwright_mcp[済].md,ready_missing_svg
6,2,I-21,Puppeteer MCP,mcp,ready,content/entries/mcp/I-21_puppeteer_mcp[済].md,ready_missing_svg
7,3,I-22,Chrome DevTools MCP,mcp,ready,content/entries/mcp/I-22_chrome_devtools_mcp[済].md,ready_missing_svg
8,4,I-23,Serena MCP,mcp,ready,content/entries/mcp/I-23_serena_mcp[済].md,ready_missing_svg
9,1,I-24,Context7 MCP,mcp,ready,content/entries/mcp/I-24_context7_mcp[済].md,ready_missing_svg
10,2,I-30,Notion MCP,mcp,ready,content/entries/mcp/I-30_notion_mcp[済].md,ready_missing_svg
11,3,I-41,SQLite MCP,mcp,ready,content/entries/mcp/I-41_sqlite_mcp[済].md,ready_missing_svg
12,4,I-50,AWS MCP,mcp,ready,content/entries/mcp/I-50_aws_mcp[済].md,ready_missing_svg
13,1,H-54,GPT-4 リリース,history,ready,content/entries/history/H-54_gpt4_release[済].md,ready_missing_svg
14,2,H-55,LLaMA のオープン化,history,ready,content/entries/history/H-55_llama_opensource[済].md,ready_missing_svg
15,3,H-56,Claude のバージョン史,history,ready,content/entries/history/H-56_claude_version_history[済].md,ready_missing_svg
16,4,H-58,Transformer 論文,history,ready,content/entries/history/H-58_transformer_paper[済].md,ready_missing_svg
17,1,C-56,Yann LeCun,person_org,ready,content/entries/person/C-56_yann_lecun[済].md,ready_missing_svg
18,2,C-58,Elon Musk,person_org,ready,content/entries/person/C-58_elon_musk[済].md,ready_missing_svg
19,3,G-20,CLAUDE.md,tool_agent,ready,content/entries/tool_agent/G-20_claude_md[済].md,ready_missing_svg
20,4,G-21,AGENTS.md,tool_agent,ready,content/entries/tool_agent/G-21_agents_md[済].md,ready_missing_svg
21,1,G-22,SKILL.md,tool_agent,ready,content/entries/tool_agent/G-22_skill_md[済].md,ready_missing_svg
22,2,G-23,.claude/settings.json,tool_agent,ready,content/entries/tool_agent/G-23_claude_settings_json[済].md,ready_missing_svg
