order,lane,entry_id,title,category,status,md_path,priority
1,1,F-34,VS Code 拡張機能,term_tool,drafting,,later
2,2,F-57,リポジトリ,term_tool,needs_review,,later
3,3,F-58,git stash,term_tool,needs_review,content/entries/term_tool/F-58_git_stash[済].md,later
4,4,F-59,README.md,term_tool,needs_review,content/entries/term_tool/F-59_readme_md[人書].md,later
5,1,F-60,GitHub,term_tool,needs_review,content/entries/term_tool/F-60_github[人書].md,later
6,2,F-61,Pull Request,term_tool,needs_review,content/entries/term_tool/F-61_pull_request[人書].md,later
7,3,F-62,GitHub Actions,term_tool,needs_review,content/entries/term_tool/F-62_github_actions[人書].md,later
8,4,F-71,ripgrep (rg),term_tool,needs_review,content/entries/term_tool/F-71_ripgrep[人書].md,later
9,1,F-80,Node.js,term_tool,needs_review,content/entries/term_tool/F-80_node_js[人書].md,later
10,2,F-81,bash,term_tool,needs_review,content/entries/term_tool/F-81_bash[済].md,later
11,3,F-82,WSL,term_tool,needs_review,content/entries/term_tool/F-82_wsl[済].md,later
12,4,F-83,PowerShell,term_tool,needs_review,content/entries/term_tool/F-83_powershell[済].md,later
