entry_id,title,source_file,source_type,candidate_png,candidate_webp,candidate_status
J-1,AGI,assets\ponchi\experiments\batches\ponchi-batch-016\J-1_base_1254x627.png,review_pending_base,J-1_candidate.png,J-1_candidate.webp,review_pending
J-2,強い AI／弱い AI,assets\ponchi\experiments\batches\ponchi-batch-016\J-2_base_1254x627.png,review_pending_base,J-2_candidate.png,J-2_candidate.webp,review_pending
J-3,Singularity,assets\ponchi\experiments\batches\ponchi-batch-016\J-3_base_1254x627.png,review_pending_base,J-3_candidate.png,J-3_candidate.webp,review_pending
J-4,ASI,assets\ponchi\experiments\batches\ponchi-batch-016\J-4_base_1254x627.png,review_pending_base,J-4_candidate.png,J-4_candidate.webp,review_pending
J-10,Machine Learning,assets\ponchi\experiments\batches\ponchi-batch-016\J-10_base_1254x627.png,review_pending_base,J-10_candidate.png,J-10_candidate.webp,review_pending
J-11,Deep Learning,assets\ponchi\experiments\batches\ponchi-batch-016\J-11_base_1254x627.png,review_pending_base,J-11_candidate.png,J-11_candidate.webp,review_pending
J-12,Neural Network,assets\ponchi\experiments\batches\ponchi-batch-016\J-12_base_1254x627.png,review_pending_base,J-12_candidate.png,J-12_candidate.webp,review_pending
J-13,Transformer,assets\ponchi\experiments\batches\ponchi-batch-016\J-13_base_1254x627.png,review_pending_base,J-13_candidate.png,J-13_candidate.webp,review_pending
J-14,LLM,assets\ponchi\experiments\batches\ponchi-batch-016\J-14_base_1254x627.png,review_pending_base,J-14_candidate.png,J-14_candidate.webp,review_pending
J-15,VLM,assets\ponchi\experiments\batches\ponchi-batch-016\J-15_base_1254x627.png,review_pending_base,J-15_candidate.png,J-15_candidate.webp,review_pending
J-16,Fine-tuning,assets\ponchi\experiments\batches\ponchi-batch-016\J-16_base_1254x627.png,review_pending_base,J-16_candidate.png,J-16_candidate.webp,review_pending
J-17,Attention,assets\ponchi\experiments\batches\ponchi-batch-016\J-17_base_1254x627.png,review_pending_base,J-17_candidate.png,J-17_candidate.webp,review_pending
J-18,MoE,assets\ponchi\experiments\batches\ponchi-batch-016\J-18_base_1254x627.png,review_pending_base,J-18_candidate.png,J-18_candidate.webp,review_pending
J-19,量子化,assets\ponchi\experiments\batches\ponchi-batch-016\J-19_base_1254x627.png,review_pending_base,J-19_candidate.png,J-19_candidate.webp,review_pending
J-20,Big Data,assets\ponchi\experiments\batches\ponchi-batch-016\J-20_base_1254x627.png,review_pending_base,J-20_candidate.png,J-20_candidate.webp,review_pending
J-21,LoRA,assets\ponchi\experiments\batches\ponchi-batch-016\J-21_base_1254x627.png,review_pending_base,J-21_candidate.png,J-21_candidate.webp,review_pending
J-22,パラメータ数の単位,assets\ponchi\experiments\batches\ponchi-batch-016\J-22_base_1254x627.png,review_pending_base,J-22_candidate.png,J-22_candidate.webp,review_pending
J-23,拡散モデル,assets\ponchi\experiments\batches\ponchi-batch-016\J-23_base_1254x627.png,review_pending_base,J-23_candidate.png,J-23_candidate.webp,review_pending
J-31,第 5 世代コンピュータ,assets\ponchi\experiments\batches\ponchi-batch-016\J-31_base_1254x627.png,review_pending_base,J-31_candidate.png,J-31_candidate.webp,review_pending
J-32,ノイマン型,assets\ponchi\experiments\batches\ponchi-batch-016\J-32_base_1254x627.png,review_pending_base,J-32_candidate.png,J-32_candidate.webp,review_pending
